Curriculum overview,,,,,,
,Year 9,,,,,
,Autumn 1,Autumn 2,Spring 1,Spring 2,Summer 1,Summer 2 
Maths,"Foundation: Percentages - Simple interest, Percentage increases and decreases, Calculating the original value, Using percentages; Equations and formulae - Multiplying out brackets, Factorising algebraic expressions, Equations with brackets, Equations with fractions, Rearranging formulae; Polygons - Angles in polygons, Constructions, Angles in regular polygons, Regular polygons and tessellations;                              Higher: Percentages - Simple interest, Percentage increase and decrease, Calculating the original value, Compound interest and depreciation;  Equations and formulae - Multiplying out brackets (single brackets and two sets of single brackets with simplification), Expanding double and triple brackets and simplifying the products; Proportion - Direct proportion, indirect proportion, graphical proportion                                  End of unit assessment - exam","Foundation: Circles - The formula for the circumference of a circle, The formula for the area of a circle, Mixed problems; Applications of graphs - Step graphs; Time graphs, Exponential growth graphs; Pythagoras’ theorem - Introducing Pythagoras’ theorem, Calculating the length of the hypotenuse, Calculating the length of a shorter side, Using Pythagoras’ theorem to solve problems;  Using data -  Interpreting graphs and diagrams, Time-series graphs, Two-way tables, Comparing two or more sets of data, Statistical investigations;  Higher: Using data - Two-way tables, Estimation of a mean from grouped data, Cumulative frequency diagrams, Statistical investigations; Applications of graphs -  Step graphs, Time graphs, Exponential growth graphs; Pythagoras’ Theorem - Introducing Pythagoras, Using Pythagoras’ theorem to solve problems, The converse of Pythagoras’ theorem    End of unit assessment - exam","Foundation: Algebra - Expanding brackets, More about brackets, Factorising algebraic expressions, Factorising expressions containing powers, Expand and simplify, Change the subject of a formula; Decimal numbers - Multiplication of decimals, Powers of ten, Standard form, Rounding suitably, Rounding appropriately, Dividing decimals, Mental calculations, Solving problems                        Higher: Algebra - Factorising linear expressions, Factorising quadratic expressions with positive coefficients, Factorising quadratic expressions with negative coefficients, The difference of two squares; Decimal numbers - Powers of 10, Standard form, Multiplying numbers in standard form, Dividing with numbers in standard form, Upper and lower bounds, Limits of accuracy                                                            End of unit assessment - exam","Foundation: Fractions - Adding and subtracting fractions, Multiplying fractions, Multiplying mixed numbers, Dividing fractions, Dividing fractions and mixed numbers;  Surface area and volume of 3D shapes - Surface areas of cubes and cuboids, Volume formulae for cubes and cuboids, Volumes of triangular prisms; Prisms and cylinders - Metric units for area and volume, Volume of a prism, Surface area of a prism, Volume of a cylinder, Surface area of a cylinder; Algebra: Number and sequences - Patterns in number, Number sequences, Finding the nth term of a linear sequence, Special sequences, General rules from given patterns;   Higher: Surface area and volume of cylinders - Volume of a cylinder, Surface area of a cylinder, Composite shapes; Solving equations graphically - Graphs from equations of the form ay ± bx = c, Solving simultaneous equations by drawing graphs, Solving quadratic equations by drawing graphs, Solving cubic equations by drawing graphs End of unit assessment - exam","Foundation: Solving equations graphically - Graphs from equations in the form y = mx + c, Problems involving straight-line graphs, Graphs from equations in the form ay ± bx = c; Distance, speed and time – Distance, Speed, Time; Compound measures – Speed, More about proportion, Unit costs; Similar triangles - Similar triangles, A summary of similar triangles, Using triangles to solve problems                    Higher: Compound units – Speed, More compound units, Unit costs; Right-angled triangles - Introduction to trigonometric ratios, How to find trigonometric ratios of angles, Using trigonometric ratios to find angles, Using trigonometric ratios to find lengths; Introduction to algebraic proof - Reasoning about number patterns End of unit assessment - exam                       ","Foundation: Right-angled triangles - Introducing trigonometric ratios,  How to find trigonometric ratios of angles, Using trigonometric ratios to find angles, Using trigonometric ratios to find lengths; Number: Powers and standard form - Powers (indices), Rules for multiplying and dividing powers, Standard form;  Revision and GCSE preparation    Higher: Introduction to geometric proof - Properties and relationships; Probability - Independent and combined events;  Introduction to geometric sequences - Generating non-linear sequences                        End of Year exam covering all topics in Yr9"
English,"Literature:  Relationships poetry (5 weeks)

Individual poems and unseen skills Lit Paper 2
Assessment: Unseen poetry response (Lit Paper 2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Language: ‘Romeo and Juliet’ through drama and Lang paper 1 skills.
(All lessons)

Speaking and Listening skills                                                                                                                                                                                                                                                                Literature: 
‘Romeo and Juliet’ understanding of plot and characters
Assessment: Non-fiction writing question – Lang Paper 2 Q5



","Language: ‘Romeo and Juliet’ through drama and Lang paper 1 skills.
(All lessons)

Speaking and Listening skills  Literature: 
‘Romeo and Juliet’ understanding of plot and characters
Assessment: Non-fiction writing question – Lang Paper 2 Q5
","Language: 19th Century text: ‘The Sign of Four’
Language Reading Skills 
(4 lessons per fortnight) 
Extract focus and analysis
Literature: 19th Century text: ‘The Sign of Four’
(4 lessons per fortnight) 
Extract focus and analysis

Assessment:
Lit-style analysis


","Language: 19th literary non-fiction & non-fiction 
(3 lessons per fortnight)
Lang Paper 2 skills

Literature: Modern texts: ‘An Inspector Calls’ and NLMG for sets 1-2.
(4 lessons per fortnight)
Understanding of plot, characters and general context.

Assessment:
Lit extract and whole text Q as part of y9 exam week

Lang Paper 2 Q5 as part of y9 exam week
","Language:  20th/21st century fiction Telling Tales
(3 lessons per fortnight)
SPaG and creative writing                                                                                                                                                                                                                                                                                       Lang Paper 1 skills                                                                                                                                                                                                                                                                   Literature:Telling Tales 
(3 lessons per fortnight)
Understanding and analysis.                                                                                                                                                                                                                                                                   Assessment: Writing Q – fiction 
                                                                                                                                                                                                                                                                                                                                                                                     



","Language:  20th/21st century fiction Telling Tales
(3 lessons per fortnight)
SPaG and creative writing                                                                                                                                                                                                                                                                                       Lang Paper 1 skills                                                                                                                                                                                                                                                                   Literature:Telling Tales 
(3 lessons per fortnight)
Understanding and analysis.                                                                                                                                                                                                                                                                   Assessment: Writing Q – fiction 
                                                                                                                                                                                                                                                                                                                                                                                     



"
"Science  (Year 9 Classes rotate through these topics - some will start with Bio, some with Phys and others with Chem. By year end all students will have covered all topics)","BIOLOGY - CELLS
• Animal and Plant cells
• Cell specialisation
• Cell differentiation
• Microscopy
• Eukaryotes and prokaryotes
• Diffusion 
• Osmosis 
• Active transport 
Cells revision lesson
Cells end of chapter test  
","BIOLOGY -ORGANISATION
• Organisational hierarchy
• Digestive system
• food tests 
• Properties of enzymes
• Enzyme practical 
• Human digestive enzymes 
• Heart structure
• Gas exchange
• Arteries veins and capillaries
• CHD
• Blood
• Health & life style 
• Cancer
Organisation revision lesson 
Test and review of organisation
","CHEMISTRY- Separation Techniques 
• States of Matter
• Particle Theory
• Purity
• Mixtures and Formulations                    • Changes of State
• Filtration and Crystallisation
• Paper Chromatography
• Distillation
• Fractional Distillation Separation Techniques Assessment
Atomic Structure
• Elements, Atoms and Compounds       • Word and Symbol Equations
• Development of the Atomic Model
• Charges
• Mass of Atoms
• Isotopes (not RAM)                    • Ions and Ion Formation

","CHEMISTRY-          Periodic Table          • Elements and the Periodic Table
• Electron Structures
• Metals and Non-Metals
• Group 0
• Group 1
• Transition Metals (CHEM ONLY)
• Group 7
• Reactivity of Group 7
• Test for Halides (CHEM ONLY)
Assessment
","PHYSICS - PARTICLE MODEL
• Density
• Changes in state
• Internal energy
• specific heat capacity
• specific latent heat
• Particle motion in gases
• Pressure in gases II
• Pressure of a gas I (work done)
 
","PHYSICS - FORCES
• Distance, displacement and speed
• Velocity
• The distance-time relationship 
ENERGY
• Energy stores and systems
• Specific Heat Capacity
• Power
• Energy transfers in a system
• Efficiency
• Renewable / non-renewable
Assessment
"
History,"Causes of WW1 - long term reasons (militarism, imperialism, alliances and nationalism). Assassination of Franz Ferdinand. Assessments can include: Why did WW1 start? Interpretations of why the war started. ","Key events of WW1. The start of the war - Schleffien plan and the trenches, why did people decide to join up to fight. Key battles during the war. The end of the war. Assessments include: sources on the battle of the Somme,  ","Votes for women. Situation for women in the early 1900s. Reasons why women wanted the vote, the different tactics used by the different groups - suffagettes and suffagists. WW1 and the impact this had on the campaign to gain the vote. Assessments: Why did women gain the vote? ",Inter war period. Looking at the fear of communism and the rise of nationalist groups and the key events that led to WW2. ,"The Holocaust. Origins of anti semitism, reasons why Hitler and the Nazis introduced the Holocaust, how the treatment of the Jews changed and the final solution, the experience of life in the concentration camps ",Arab Israeli Conflict. Looking at the origins of this conflict and the background to why this conflict developed. 
Geography,"Earths Story 

What's the earth's story?

End of unit assessment - exam
","7 Billion and Counting 

How many people is too many people? ","Our warming planet 

What will happen to the polar bears in the future? 

End of unit assessment - exam
","Globalisation 

How has globalisation shaped our world? 

End of unit assessment - knowledge recall test
","Resource Managment 

Does resources use drive development, or does development drive resource use?

Revision for summer exam
","Superpowers

Superpowers: Is the 21st century the 'Chinease century'?

Summer exam (completed at the start of this half term)
"
French,"Les vacances 1

Using the past tense, saying where you went & where you stayed using the correct prepositions with countries, Saying what the weather was like, saying what you did, giving opinions in the past tense, saying whether you will return.


Reading & Writing
","La santé

Body parts, illnesses, saying what is wrong physically, advice at the pharmacy, how you got the injury, healthy and unhealthy living.

Listening & Reading
","Au marché et aux magasins

Transactional language at a market / shop, buying food / clothes, understanding prices, making a complaint

Speaking
","Au cinéma

Film genres, opinions on films, describing a film in the present & past tense.

Cultural enrichment: study of a French film.                                                   Writing


","Paris

Famous landmarks in Paris, what tourists can do there, opinions on activities, describing a past city trip,revision for EOY exams.


","Daily Routine

Describing your daily routine with reflexive verbs, sequencers & the time, describing someone elses daily routine with reflexive verbs.

End of year exams in all skills: Listening / Reading / Speaking / Writing / Translation                                
"
German,"Topfit

Body parts, illnesses, dialogue at the doctor, keeping fit, time phrases, daily routine

Reading / Vocab / Translation 
","Essen & Einkaufen

Breakfast, likes & dislikes, buying food at a market, shops, positions of shops, pocket money

Writing
","Unter Freunden

Inviting people out, clothes & adjective agreement, TV shows & opinions,
","Unter Freunden 2

Music & opinions, social media. 

Reading / Translation 

Start Die Zukunft
","Die Zukunft

Future tense, plans for the future, learning a foreign language & why, jobs & workplaces, characteristics

","Meine Welt, deine Welt

EOY exam
Speaking / Writing / Reading / Listening

What is important, detailed daily routine, rules in Germany, environment 

"
Spanish ,"Using comparatives and superlatives to describe personality and physical description

Sports and free time including activities that you do at the weekend

Learn the future tense to describe future weekend plans

Homeworks this year are a mixture of learning vocabulary, key structures and written tasks in the style of GCSE assessments. Students also become increasingly familiar with GCSE photocards used in the speaking exam.

Reading and listening assessment. Translation into English. 
","Learning/revising places in the town
 
Describing places you have visited in London using the perfect tense

Saying what you would you want to visit and why

Giving recommendations on places in London
","Future tense to talk about what you are going to visit in Granada / Madrid

Group talk assessment on London and future plans

Trip to Granada/Malaga in February for four days
","Describing a past holiday using the preterite tense. 

Learning the preterite tense of the verb ‘ir’ to go to describe key details such as where, who with, when etc. Then description of activities that you and others did on holiday. 
","Future tense to talk about future holiday plans

End of year exam: Speaking exam with a GCSE style photocard and questions prepared at home. General conversation on holidays

Written essay on past and future tense holiday plans

Listening and reading exam encompassing all vocabulary from year 7 to date.
","Following the exams, we begin the start of the GCSE course.

We learn all about key Spanish festivals, for example ‘La Tomatina’, ‘Las Fallas’, ‘San Fermín’ and also the ‘Day of the Dead’ in Mexico. We learn key vocab and we learn to describe them.

We also learn about customs in Spain and give opinions on them.
"
RE,"Introduction to GCSE
Nature of God 
The trinity
Creation 1 and 2
Key teachings of Jesus
Incarnation
Resurrection 
Atonement and Sin
Salvation
Afterlife and Judgement
","Heaven and Hell
Unit recap
Islam Beliefs

Oneness of God
Sunni and Shia
6 articles of faith
5 roots
Nature of Allah
Angels
Predestination 
","Akhirah
Revision
Assessment
Adam 
Feedback
Ibrahim
Muhammad 
Quran, Hadith, Shariah
","Recap
Introduction to Peace and Conflict 
Christian teachings
Causes of War
WMDs
Just war theory 
Holy War
Peace-making 
","Victims of war
Violent protest
Terrorism
Examples of wars 
Unit re cap
Revision 
","Assessment 
Review 
"
